CASENAME,COMN,Similarity,token_sort_ratio
180 Connect,180 CONNECT INC,1,1
3M COMPANY,3M CO,1,1
99 Cents Only Stores,99 CENTS ONLY STORES,1,1
A M CASTLE & CO,CASTLE (A M) & CO,1,1
"A. Schulman, Inc.",SCHULMAN (A.) INC,1,1
A.M. GENERAL CORP,AM GENERAL CORP,1,1
A.P. GREEN INDUSTRIES,GREEN (A.P.) INDUSTRIES INC,1,1
AAI CORPORATION,AAI CORP,1,1
AAI Corporation,AAI CORP,1,1
"AAON, INC.",AAON INC,1,1
AARONS,AARON'S INC,1,1
ABB Inc.,ABB LTD,1,1
"ABB, Inc.",ABB LTD,1,1
ABEX CORP,ABEX CORP,1,1
ABF FREIGHT SYSTEM INC,ABF FREIGHT SYSTEM INC,1,1
"ABF Freight System, Inc.",ABF FREIGHT SYSTEM INC,1,1
ABM Industries,ABM INDUSTRIES INC,1,1
"ABM Industries, Inc.",ABM INDUSTRIES INC,1,1
ACCESS,ACCESS CORP,1,1
"ACCO BRANDS, INC.",ACCO BRANDS CORP,1,1
"ACCO WORLD, INC.",ACCO WORLD CORP,1,1
ACE HARDWARE,ACE HARDWARE CORP,1,1
ACE HARDWARE CORP,ACE HARDWARE CORP,1,1
ACE HARDWARE CORP.,ACE HARDWARE CORP,1,1
ACE HARDWARE CORPORATION,ACE HARDWARE CORP,1,1
ACME ELECTRIC CORPORATION,ACME ELECTRIC CORP,1,1
ACTION CORPORATION,ACTION PLC,1,1
ACTION SERVICE CORP.,ACTION PLC,1,1
"ACTION STAFFING, INC.",ACTION STAFFING INC,1,1
ADAMS DRUG CO INC,ADAMS DRUG INC,1,1
"ADAMS DRUG CO, INC",ADAMS DRUG INC,1,1
"ADHESIVES & CHEMICALS, INC.",ADHESIVES & CHEMICALS INC,1,1
ADT CO.,ADT CORP,1,1
ADT LIMITED,ADT CORP,1,1
ADT LLC,ADT CORP,1,1
"ADT, INC.",ADT CORP,1,1
"ADT, LLC",ADT CORP,1,1
ADVANCE CIRCUITS INC,ADVANCE CIRCUITS INC,1,1
"ADVANCE CIRCUITS, INC.",ADVANCE CIRCUITS INC,1,1
"ADVANCE STORES CO., INC.",ADVANCE STORES CO INC,1,1
ADVANCED SYSTEMS INC,ADVANCED SYSTEMS INC,1,1
"ADVO, INC.",ADVO INC,1,1
AECOM,AECOM,1,1
AECOM Inc.,AECOM,1,1
"AEP INDUSTRIES, INC.",AEP INDUSTRIES INC,1,1
AEP Industries Inc.,AEP INDUSTRIES INC,1,1
"AEP Industries, Inc.",AEP INDUSTRIES INC,1,1
AES,AES CORP,1,1
"AFA PROTECTIVE SYSTEMS, INC.",AFA PROTECTIVE SYSTEMS INC,1,1
AFA Protective Systems Inc.,AFA PROTECTIVE SYSTEMS INC,1,1
AFC Cable Systems,AFC CABLE SYSTEMS INC,1,1
AGWAY INC,AGWAY INC,1,1
AIR CARGO EQUIPMENT CORP.,AIR CARGO EQUIPMENT CORP,1,1
AIR PRODUCTS & CHEMICALS,AIR PRODUCTS & CHEMICALS INC,1,1
AIR PRODUCTS & CHEMICALS INC,AIR PRODUCTS & CHEMICALS INC,1,1
"AIR PRODUCTS & CHEMICALS, INC",AIR PRODUCTS & CHEMICALS INC,1,1
"AIR PRODUCTS & CHEMICALS, INC.",AIR PRODUCTS & CHEMICALS INC,1,1
AIRCO,AIRCO INC,1,1
AIRCO INC,AIRCO INC,1,1
"AIRCO, INC",AIRCO INC,1,1
"AIRCO, INC.",AIRCO INC,1,1
AIRGAS,AIRGAS INC,1,1
AJAX MAGNETHERMIC CORP.,AJAX MAGNETHERMIC CORP,1,1
ALABAMA GAS CORP.,ALABAMA GAS CORP,1,1
ALABAMA POWER CO.,ALABAMA POWER CO,1,1
ALABAMA POWER COMPANY,ALABAMA POWER CO,1,1
ALBERTSON'S,ALBERTSON'S INC,1,1
ALBERTSON'S INC,ALBERTSON'S INC,1,1
ALBERTSON'S INC.,ALBERTSON'S INC,1,1
"ALBERTSON'S, INC",ALBERTSON'S INC,1,1
"ALBERTSON'S, INC.",ALBERTSON'S INC,1,1
ALBERTSONS,ALBERTSON'S INC,1,1
ALBERTSONS INC,ALBERTSON'S INC,1,1
ALBERTSONS INC.,ALBERTSON'S INC,1,1
"ALBERTSONS, INC",ALBERTSON'S INC,1,1
"ALBERTSONS, INC.",ALBERTSON'S INC,1,1
ALCON LABORATORIES,ALCON LABORATORIES INC,1,1
ALDEN PRESS INC,ALDEN PRESS CO,1,1
ALFRED M LEWIS INC,LEWIS (ALFRED M.) INC,1,1
ALLEGHENY LUDLUM CORPORATION,ALLEGHENY LUDLUM CORP,1,1
ALLEGIANCE,ALLEGIANCE CORP,1,1
ALLIED DIGITAL TECHNOLOGIES,ALLIED DIGITAL TECHNOLOGIES,1,1
"ALLIED FOODS, INC.",ALLIED FOODS INC,1,1
ALLIED MAINTENANCE,ALLIED MAINTENANCE,1,1
